,card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
334,yes,0,34.5,6.2,0.1840382,950.8641,yes,no,0,60,1,11
335,yes,0,40.33333,2.5,0.0509016,105.9617,no,no,1,24,1,2
336,no,1,24.25,2.0,0.0006,0.0,no,no,0,52,0,3
337,no,0,30.16667,2.4,0.0005,0.0,no,yes,2,72,1,11
338,yes,0,45.0,4.03,0.04091464,137.0717,no,no,0,72,1,2
339,no,0,31.66667,3.0,0.0004,0.0,no,no,0,12,0,0
340,yes,0,24.91667,2.9,0.000508621,0.3125,yes,no,0,60,1,8
341,yes,0,27.83333,1.99,0.06038794,100.1433,yes,no,1,12,1,5
342,yes,0,56.91667,1.92,0.2004224,320.6758,yes,yes,1,64,1,9
343,yes,1,34.41667,5.0,0.1640627999999999,683.4283,yes,yes,1,108,1,6
344,no,2,32.58333,2.16,0.000555556,0.0,yes,no,1,38,0,8
345,yes,0,26.58333,2.2,0.07969773,145.6958,no,no,0,30,1,3
346,yes,0,20.41667,2.2375,0.05063821,93.91917,no,no,0,27,1,1
347,no,2,40.0,2.4,0.0005,0.0,no,no,0,72,1,6
348,yes,0,40.16667,1.9,0.1059958,167.8267,yes,no,3,108,1,17
349,yes,0,25.66667,5.5,0.1535069,703.4067,yes,no,1,30,1,13
350,no,0,32.08333,2.16,0.000555556,0.0,no,no,0,42,0,0
351,yes,2,26.0,7.0,0.221529,1292.003,no,yes,0,13,1,31
352,no,3,36.91667,2.6,0.000461539,0.0,yes,no,1,54,1,14
353,no,0,22.66667,2.5,0.00048,0.0,no,no,0,27,1,0
354,yes,0,28.25,3.9,0.07661206,248.9058,no,no,0,48,1,10
355,yes,0,49.16667,5.2,0.01664154,71.53,yes,no,1,15,1,6
356,yes,1,24.16667,3.25,0.1285348,347.9483,no,no,0,12,0,5
357,yes,0,32.66667,3.6,0.001833333,4.5833330000000005,no,no,0,25,1,2
358,yes,0,32.58333,10.0,0.09980781,831.7317,yes,no,3,7,1,28
359,yes,0,36.0,3.7,0.03311243,101.7633,yes,no,2,6,0,18
360,yes,0,29.25,4.467,0.1139493999999999,424.1767,yes,yes,0,63,1,5
361,no,0,36.41667,5.2,0.000230769,0.0,yes,no,2,12,1,0
362,yes,0,22.91667,4.8,0.05806896,232.2758,no,no,2,2,1,4
363,yes,0,61.0,1.5,0.2685167,335.5625,yes,no,1,372,1,24
364,yes,0,54.41667,1.5,0.01661133,20.18083,no,no,0,24,0,1
365,no,0,25.66667,1.8504,0.000648508,0.0,no,no,0,14,1,0
366,yes,0,30.33333,2.45,0.05832653,119.0,no,no,0,8,1,0
367,yes,0,27.08333,1.89,0.04420053,69.0325,no,no,0,51,1,12
368,yes,0,39.0,3.5,0.04514543,131.6742,yes,no,2,113,0,13
369,no,0,24.16667,2.7885,0.000430339,0.0,no,no,0,4,1,0
370,yes,0,47.08333,4.5,0.1395,523.125,yes,no,0,3,1,13
371,no,4,24.83333,2.8,0.000428571,0.0,no,no,0,12,1,7
372,no,3,32.16667,2.8,0.000428571,0.0,yes,no,3,106,0,11
373,yes,0,33.08333,4.5,0.104378,391.4175,no,no,1,36,1,2
374,yes,0,45.0,3.8,0.03137474,99.10333,yes,no,1,90,1,3
375,no,0,32.83333,5.0,0.00024,0.0,no,yes,0,14,1,0
376,yes,0,23.33333,2.7,0.1686141,379.2983,no,no,0,2,1,0
377,no,2,25.16667,2.5,0.00048,0.0,no,yes,1,30,1,18
378,yes,0,26.58333,3.2,0.1495691,398.8508,yes,no,2,12,1,0
379,yes,0,22.91667,1.92,0.02146354,34.09167,yes,no,2,12,1,21
380,yes,0,45.66667,2.3080000000000003,0.2200398999999999,423.1267,no,no,1,94,1,5
381,no,0,29.16667,1.7,0.000705882,0.0,no,no,1,28,1,0
382,yes,0,48.91667,3.0,0.09670267,241.4233,yes,no,2,120,0,3
383,yes,0,39.75,2.45,0.0714951,145.7192,yes,no,3,38,1,8
384,yes,0,20.08333,3.4,0.000647059,0.9166667,no,no,0,15,0,0
385,yes,0,32.91667,2.5,0.2457659999999999,512.0125,no,no,1,6,1,9
386,yes,0,39.66667,3.0,0.1275373,318.51,yes,no,0,72,1,9
387,yes,0,26.83333,3.15,0.07226063,189.6842,no,no,0,6,1,0
388,yes,0,27.25,3.5,0.06670286,194.4667,no,no,0,6,1,0
389,yes,0,19.58333,1.8,0.121795,182.6092,no,no,0,12,1,0
390,yes,0,24.08333,2.25,0.1584612999999999,297.0317,no,no,1,10,1,9
391,yes,0,22.83333,2.0,0.0229845,37.97417,no,no,0,25,1,11
392,yes,0,27.08333,4.1,0.115781,395.585,yes,no,2,41,1,14
393,yes,0,23.83333,2.97,0.08264108,204.5367,no,no,0,4,1,7
394,yes,0,41.66667,5.5,0.03244491,148.3725,yes,no,3,9,1,0
395,yes,0,27.25,3.15,0.06493969,170.4667,yes,no,2,24,1,9
396,yes,0,46.5,3.5,0.0422899999999999,122.9292,no,yes,2,48,1,1
397,yes,0,21.08333,1.5344,0.004301356,4.5833330000000005,no,no,0,14,1,11
398,yes,0,32.33333,5.1,0.101359,430.6925,yes,no,0,38,1,10
399,yes,0,22.58333,2.25,0.01111111,20.08333,no,no,0,12,1,4
400,yes,0,25.58333,3.41,0.006522581,17.785,yes,no,1,7,1,6
401,yes,0,35.25,3.7,0.1221516,376.6342,yes,no,1,12,1,0
402,no,0,34.58333,3.4,0.000352941,0.0,no,no,0,12,1,0
403,yes,0,35.75,4.14,0.1375308999999999,474.065,yes,no,0,12,1,18
404,no,4,38.25,4.8,0.00025,0.0,yes,no,1,42,1,6
405,yes,0,34.75,7.0,0.05023986,293.0658,yes,no,3,3,1,0
406,yes,0,28.75,7.0,0.1083523999999999,631.9725,yes,yes,0,12,1,5
407,yes,1,29.16667,2.2,0.03820546,69.79333000000001,no,no,0,49,1,7
408,no,0,28.58333,2.06,0.000582524,0.0,yes,no,0,31,0,12
409,no,0,22.08333,1.536,0.00078125,0.0,no,no,0,12,0,3
410,no,3,36.5,4.0,0.0003,0.0,yes,no,0,28,1,12
411,yes,0,43.83333,10.5,0.001095238,8.75,yes,no,4,168,1,16
412,yes,0,32.0,3.05,0.0501859,127.4725,no,no,0,62,0,10
413,yes,1,56.91667,3.4838,0.0628954,182.0958,yes,no,0,540,1,7
414,yes,0,24.33333,3.0,0.002791667,6.1458330000000005,yes,no,2,18,1,6
415,yes,0,34.58333,5.1,0.0970047,412.1867,yes,no,4,3,1,0
416,yes,0,53.0,2.45,0.01771837,35.675,yes,no,0,3,1,11
417,yes,0,31.16667,2.0,0.1235615,205.9358,yes,no,1,42,0,6
418,yes,0,54.08333,4.0,0.01336725,43.97417,yes,no,1,188,1,13
419,yes,0,45.83333,3.48,0.06486379,188.105,yes,yes,1,16,1,21
420,yes,0,20.83333,2.0,0.00475,7.0833330000000005,yes,yes,0,18,0,3
421,yes,0,27.33333,2.15,0.2703846,484.4392,no,no,0,6,1,12
422,no,0,37.58333,4.475,0.000268156,0.0,no,no,2,60,1,15
423,yes,0,33.25,1.7,0.006725882,8.778334,no,no,0,146,1,17
424,yes,0,28.08333,3.0,0.06997,174.925,no,no,0,18,1,11
425,yes,0,27.16667,2.3558,0.01112149,21.33333,yes,no,2,6,1,5
426,yes,0,50.0,4.5,0.09626533,360.995,yes,no,2,301,1,11
427,yes,0,48.33333,3.7,0.03722216,114.6017,yes,no,2,192,0,7
428,yes,0,25.25,5.5,0.02479182,113.2958,yes,yes,0,16,1,0
429,yes,0,30.75,3.374,0.01200622,33.5075,yes,no,0,10,1,9
430,yes,0,63.16667,5.5,0.02048182,93.625,yes,no,1,192,1,15
431,no,1,32.33333,6.0,0.0002,0.0,yes,no,4,18,1,4
432,yes,0,28.41667,6.9,0.07231405,415.8058,yes,no,0,14,1,0
433,yes,0,28.91667,2.75,0.3822784999999999,875.8884,yes,no,1,3,1,3
434,yes,0,0.5833333,2.5,0.0831712,173.0233,no,no,0,150,1,5
435,yes,0,25.66667,2.0,0.0049,7.416666999999999,no,no,0,26,1,13
436,yes,0,21.91667,2.6875,0.07412688,165.93,no,no,3,85,1,12
437,yes,0,27.16667,3.3569133333333303,0.007277206,15.583329999999998,no,no,4,36,1,4
438,yes,0,22.5,3.3569133333333303,0.1196106,178.9158,no,no,0,6,0,2
439,yes,0,25.33333,3.3569133333333303,0.03501987,44.9425,no,no,1,12,1,0
440,yes,0,20.16667,3.3569133333333303,0.1196406999999999,149.5508,no,no,0,3,1,3
441,yes,0,25.0,3.3569133333333303,0.00297809,3.75,no,no,0,4,1,5
442,no,2,36.58333,3.3569133333333303,0.000476191,0.0,yes,no,0,77,1,9
443,yes,0,19.66667,3.3569133333333303,0.04474897,82.92084,no,no,0,133,0,5
444,no,0,31.25,3.3569133333333303,0.000674157,0.0,no,no,0,14,1,0
445,yes,0,29.08333,3.3569133333333303,0.002743142,8.333333,no,no,0,120,1,15
446,yes,0,51.58333,3.3569133333333303,0.2975549,3099.505,yes,no,1,120,1,21
447,yes,0,31.5,3.3569133333333303,0.2253456,300.4608,no,no,0,6,1,8
448,yes,0,46.5,3.3569133333333303,0.0272399999999999,112.9167,yes,no,1,7,1,7
449,yes,0,24.66667,3.3569133333333303,0.04983472,94.145,yes,no,2,31,1,6
450,yes,0,54.75,3.3569133333333303,0.07603735,215.4392,no,no,1,12,1,7
451,yes,0,21.41667,3.3569133333333303,0.02445829,35.16833,yes,no,0,131,1,3
452,yes,0,27.08333,3.3569133333333303,0.008601538,22.4625,yes,no,0,48,1,6
453,yes,0,45.08333,3.3569133333333303,0.09064,294.58,no,no,0,120,1,12
454,no,0,35.91667,3.3569133333333303,0.000648649,0.0,no,no,0,62,0,0
455,yes,0,40.91667,3.3569133333333303,0.00331225,10.29083,yes,no,1,84,1,9
456,yes,0,54.5,3.3569133333333303,0.1763946,632.0808,yes,no,1,120,1,6
457,yes,0,28.16667,3.3569133333333303,0.1119656999999999,326.5667,yes,no,2,48,0,7
458,yes,1,34.08333,3.3569133333333303,0.1107658999999999,747.67,yes,yes,3,36,1,15
459,yes,1,30.0,3.3569133333333303,0.05105425,170.1808,yes,no,5,28,1,7
460,yes,1,33.91667,3.3569133333333303,0.9063205,1510.534,no,no,0,12,1,5
461,no,0,0.75,3.3569133333333303,0.0004,0.0,no,no,0,18,0,2
462,yes,0,51.25,3.3569133333333303,0.04344189,191.7017,no,no,1,108,1,2
463,no,7,25.91667,3.3569133333333303,0.000461539,0.0,no,no,3,36,1,11
464,yes,0,27.91667,3.3569133333333303,0.08961231,188.1858,no,no,1,12,1,0
465,no,0,23.83333,3.3569133333333303,0.000545455,0.0,no,no,0,31,0,0
466,yes,0,29.0,3.3569133333333303,0.5263956,1096.657,no,no,0,12,1,14
467,yes,0,33.5,3.3569133333333303,0.094966,276.9842,no,no,0,4,1,13
468,no,1,30.83333,3.3569133333333303,0.000275862,0.0,no,no,0,28,1,5
469,no,0,38.75,3.3569133333333303,0.00075,0.0,no,no,0,51,1,1
470,yes,0,32.16667,3.3569133333333303,0.023269,38.365,no,no,2,24,1,4
471,yes,1,43.33333,3.3569133333333303,0.3706127,1482.368,yes,no,0,3,1,4
472,yes,0,29.83333,3.3569133333333303,0.01855033,45.87583,yes,no,2,28,1,4
473,yes,0,62.0,3.3569133333333303,0.04700183,64.07417,yes,no,0,270,0,1
474,no,2,35.5,3.3569133333333303,0.000413793,0.0,no,no,1,102,1,21
475,yes,0,21.5,3.3569133333333303,0.01799908,35.16667,no,no,0,7,0,5
476,yes,0,38.25,3.3569133333333303,0.0676087,129.4167,yes,no,0,3,1,3
477,yes,0,39.58333,3.3569133333333303,0.09833618,663.7692,yes,no,3,43,1,13
478,no,2,40.5,3.3569133333333303,0.000336135,0.0,no,yes,0,31,1,7
479,no,0,34.25,3.3569133333333303,0.000617284,0.0,no,no,1,54,1,1
480,yes,0,34.83333,3.3569133333333303,0.03314945,75.63417,yes,no,0,151,1,11
481,yes,0,28.16667,3.3569133333333303,0.0016,3.75,yes,no,1,31,1,7
482,yes,0,47.16667,3.3569133333333303,0.05167186,301.2525,yes,no,1,144,1,8
483,yes,0,28.16667,3.3569133333333303,0.096285,224.5817,no,no,0,5,0,1
484,yes,0,22.41667,3.3569133333333303,0.03733385,60.58416999999999,no,no,0,3,1,0
485,no,0,45.5,3.3569133333333303,0.000184615,0.0,no,no,2,34,1,9
486,yes,0,22.91667,3.3569133333333303,0.2395248,498.9267,no,no,0,2,1,0
487,yes,1,37.08333,3.3569133333333303,0.003666667,8.333333,no,no,0,60,1,9
488,yes,0,27.25,3.3569133333333303,0.07033833,105.5075,yes,no,2,6,1,4
489,yes,0,39.58333,3.3569133333333303,0.02623077,56.33333,yes,no,3,70,1,9
490,yes,0,51.83333,3.3569133333333303,0.070965,212.4783,yes,no,1,125,1,13
491,yes,0,23.66667,3.3569133333333303,0.007781739,14.33167,no,no,2,14,0,0
492,no,1,21.5,3.3569133333333303,0.000674157,0.0,no,no,0,5,1,1
493,yes,0,21.91667,3.3569133333333303,0.000310881,0.0,yes,yes,0,18,1,8
494,yes,0,45.58333,3.3569133333333303,0.01453408,58.93083000000001,yes,no,2,159,1,4
495,no,0,39.91667,3.3569133333333303,0.000333333,0.0,no,no,0,14,0,0
496,yes,0,42.25,3.3569133333333303,0.02476569,66.26417,yes,no,2,36,1,3
497,no,2,27.5,3.3569133333333303,0.000648649,0.0,no,no,0,24,1,12
498,yes,0,25.75,3.3569133333333303,0.05965243,91.96417,yes,no,0,24,1,9
499,yes,0,25.41667,3.3569133333333303,0.1660627999999999,215.8817,no,no,0,12,1,0
500,yes,0,31.83333,3.3569133333333303,0.007014479,22.98667,yes,no,1,101,1,9
501,no,5,25.25,3.3569133333333303,0.000363636,0.0,yes,no,1,75,1,23
502,yes,0,24.16667,3.3569133333333303,0.1149625,240.38,no,no,0,10,1,12
503,yes,0,28.16667,3.3569133333333303,0.02481051,89.955,yes,no,1,84,0,1
504,yes,0,26.58333,3.3569133333333303,0.06488553,126.6508,no,no,1,26,1,2
505,yes,0,20.91667,3.3569133333333303,0.042129,140.3467,yes,no,0,24,1,4
506,no,2,35.58333,3.3569133333333303,0.000235294,0.0,yes,no,1,63,1,8
507,yes,0,32.16667,3.3569133333333303,0.1178903,294.5592,yes,no,2,9,1,0
508,yes,0,28.66667,3.3569133333333303,0.02358028,68.35916999999999,yes,no,5,42,1,12
509,yes,0,39.75,3.3569133333333303,0.03496943,101.4942,yes,no,0,12,1,0
510,yes,0,34.83333,3.3569133333333303,0.2375431,1088.739,yes,no,4,12,1,0
511,yes,0,51.75,3.3569133333333303,0.01511711,47.7875,yes,no,1,51,1,5
512,yes,0,22.66667,3.3569133333333303,0.03404134,50.02833,no,no,0,3,1,0
513,yes,0,38.25,3.3569133333333303,0.08108,344.0067,yes,no,3,126,1,17
514,yes,0,46.25,3.3569133333333303,0.02528568,188.295,yes,no,0,96,1,17
515,yes,0,50.33333,3.3569133333333303,0.04148197,245.3517,yes,no,2,12,1,0
516,yes,0,32.08333,3.3569133333333303,0.1426412999999999,285.2825,yes,no,0,96,0,8
517,yes,1,30.58333,3.3569133333333303,0.006686838,17.58333,no,no,0,19,1,12
518,yes,0,38.83333,3.3569133333333303,0.2897866,1569.677,yes,no,4,117,1,18
519,yes,0,39.58333,3.3569133333333303,0.01105884,43.74417,yes,no,1,8,1,9
520,yes,0,39.66667,3.3569133333333303,0.02240434,55.760830000000006,yes,yes,1,132,1,22
521,yes,0,41.66667,3.3569133333333303,0.04356111,97.5125,yes,no,2,28,1,11
522,yes,0,38.83333,3.3569133333333303,0.01299352,58.05416,yes,yes,0,108,1,17
523,yes,0,37.08333,3.3569133333333303,0.03150603,213.1292,yes,yes,3,120,1,5
524,yes,0,27.83333,3.3569133333333303,0.03792664,95.9975,no,no,0,13,1,0
525,yes,1,29.5,3.3569133333333303,0.03545144,61.19917,yes,no,2,12,1,11
526,yes,0,28.91667,3.3569133333333303,0.000794176,0.0,no,no,0,44,1,15
527,no,1,31.08333,3.3569133333333303,0.0004,0.0,yes,no,2,51,1,2
528,yes,0,30.33333,3.3569133333333303,0.2956862,640.6533,yes,no,0,25,1,4
529,yes,0,37.41667,3.3569133333333303,0.0298332,61.73583000000001,yes,no,2,120,0,4
530,yes,0,44.58333,3.5,0.01198229,34.53167,yes,no,1,33,1,13
531,yes,0,25.33333,2.4,0.1066462,213.2925,no,no,0,5,1,10
532,yes,0,26.83333,2.32,0.007586207,14.0,no,no,0,2,1,0
533,yes,0,46.16667,2.58,0.07673334,164.6433,yes,no,2,120,0,15
534,yes,0,28.08333,2.1,0.09068,158.6067,yes,no,1,24,0,11
535,yes,0,38.41667,2.35,0.06853744,133.9692,no,no,1,72,1,8
536,yes,0,46.75,2.8,0.000428571,0.0,yes,no,1,84,1,2
537,no,2,52.25,3.7,0.000324324,0.0,no,no,4,1,1,6
538,no,0,37.16667,1.68,0.000714286,0.0,yes,no,3,120,0,8
539,no,0,25.33333,2.64,0.000454546,0.0,no,no,0,24,1,33
540,yes,1,28.25,2.3,0.03489609,66.30083,yes,no,1,24,1,14
541,yes,2,35.33333,6.888,0.01023621,58.50583,yes,no,0,5,1,18
542,no,4,25.41667,4.0,0.0003,0.0,no,no,0,36,1,32
543,yes,0,28.16667,2.0,0.06025,100.4167,yes,no,1,38,0,8
544,no,0,19.0,1.97,0.000609137,0.0,no,no,1,24,1,2
545,yes,0,25.41667,3.0,0.01046967,25.5075,no,no,2,3,1,11
546,yes,0,26.08333,2.75,0.1835625,420.5808,yes,no,1,6,1,11
547,yes,0,31.25,5.0,0.0743784,309.91,yes,no,2,12,1,12
548,yes,0,33.66667,2.1,0.0449081,78.25584,no,no,4,12,1,0
549,yes,0,27.91667,4.0,0.03709175,123.2225,yes,no,2,2,1,0
550,yes,1,48.33333,3.0,0.03187233,79.17583,yes,yes,0,180,1,12
551,yes,0,36.83333,3.3,0.1568097,431.1433,no,no,0,3,1,0
552,no,3,45.41667,2.35,0.000510638,0.0,no,no,0,36,1,15
553,no,2,53.0,2.16,0.000555556,0.0,no,yes,0,74,0,5
554,yes,0,27.58333,3.9,0.04137513,134.3858,yes,no,3,12,1,6
555,yes,0,40.0,2.3115,0.02862341,54.96917,no,no,1,158,1,9
556,yes,0,49.16667,1.7,0.000705882,0.0,no,no,1,14,0,6
557,yes,0,40.33333,2.0,0.0723855,120.5592,no,no,0,24,1,4
558,yes,0,23.83333,4.8,0.0801425,320.4867,no,yes,0,42,1,2
559,yes,0,34.25,3.0,0.5409953000000001,1352.4879999999998,yes,no,0,72,1,3
560,yes,0,21.41667,1.56,0.06716603,87.14917,no,no,0,24,0,5
561,yes,0,39.33333,2.0,0.049059,81.265,yes,no,2,200,1,9
562,yes,0,24.25,2.6,0.2969185,643.3233,no,no,1,10,1,11
563,yes,0,47.83333,4.68,0.03474402,134.9183,yes,no,1,210,1,6
564,yes,0,34.83333,4.0,0.2582514999999999,860.755,no,yes,0,204,0,6
565,yes,0,52.25,1.8744,0.0552038,85.97833,yes,no,0,250,1,4
566,yes,3,47.5,3.1,0.1792845,463.1517,no,no,0,24,1,15
567,yes,0,25.75,2.8,0.05751464,134.2008,no,no,0,6,0,3
568,yes,0,24.08333,2.04,0.1136103,192.7208,no,no,0,109,1,5
569,yes,0,24.5,2.1,0.3213480999999999,562.3592,no,no,0,28,1,5
570,yes,0,22.33333,2.0,0.164968,274.9467,no,no,0,13,1,7
571,yes,0,33.16667,5.6,0.08529589,398.0475,yes,no,4,84,1,4
572,yes,0,38.91667,3.0,0.04979033,124.4758,yes,no,1,84,1,11
573,yes,0,22.16667,2.4,0.08183375,163.4175,no,no,0,23,1,0
574,yes,0,23.33333,1.85,0.06057946,93.31,no,no,0,4,1,1
575,yes,0,24.08333,2.9,0.04706862,113.2492,yes,no,0,60,1,3
576,no,0,26.66667,2.0,0.0006,0.0,no,yes,1,63,1,2
577,yes,0,52.41667,1.89,0.02392328,37.42916,no,no,0,240,1,6
578,yes,0,20.25,2.0,0.2048969999999999,341.245,no,no,0,24,1,7
579,yes,0,25.41667,1.6417,0.3715959,508.2908,no,no,0,19,1,9
580,no,4,22.75,2.34,0.000512821,0.0,no,no,0,61,1,6
581,yes,0,24.41667,1.9,0.2731215999999999,432.3592,no,no,0,19,1,6
582,yes,0,21.5,1.53,0.03650327,46.29167,yes,no,0,22,1,11
583,yes,0,22.41667,3.9946,0.07619161,253.6292,no,no,0,268,1,2
584,yes,0,46.33333,1.6,0.04630688,61.7425,no,no,0,162,1,11
585,yes,0,19.41667,1.8,0.08415,125.8917,no,no,0,3,1,0
586,yes,1,29.83333,3.7,0.595776,1836.976,no,no,0,24,1,7
587,yes,0,28.91667,2.1,0.009285714,15.583329999999998,no,no,0,28,1,5
588,yes,0,26.66667,2.0,0.03145,51.75,no,no,1,6,1,1
589,no,1,44.83333,2.6,0.000461539,0.0,yes,no,0,48,1,1
590,yes,0,27.0,2.675,0.03482019,77.28667,yes,no,0,135,1,0
591,no,1,30.16667,4.16,0.000288462,0.0,yes,yes,2,37,1,15
592,yes,0,24.83333,2.1,0.1375624,240.4842,no,no,1,24,1,5
593,yes,0,28.0,2.4,0.0337825,67.39833,no,no,1,24,1,4
594,yes,0,39.16667,3.12,0.02673974,69.27333,yes,yes,2,66,1,5
595,yes,0,31.41667,3.0,0.06917133,172.5717,yes,no,1,24,1,13
596,yes,0,40.41667,3.115,0.07675923,199.0042,yes,no,1,60,1,11
597,no,3,23.16667,1.6213,0.000740147,0.0,no,no,1,144,0,4
598,yes,0,43.58333,4.3681,0.04429271,160.4792,yes,no,2,110,1,10
599,no,0,25.16667,2.5340000000000003,0.00047356,0.0,no,no,0,14,1,3
600,no,2,40.58333,3.1,0.000387097,0.0,yes,no,1,66,1,5
601,no,7,32.08333,2.7161,0.00044181,0.0,no,no,1,60,0,10
602,yes,0,42.16667,4.04,0.01336535,44.41333,no,no,0,5,1,6
603,yes,0,47.33333,2.7495,0.2148416,492.2558,no,no,0,156,0,11
604,yes,0,27.83333,3.0,0.1608052999999999,401.93,no,no,1,24,1,2
605,yes,0,30.66667,3.15,0.06829016,179.1783,yes,no,1,19,1,9
606,no,0,38.5,5.97,0.000201005,0.0,yes,no,1,3,1,19
607,yes,0,31.0,2.6,0.0841927,182.1675,no,no,0,5,1,0
608,no,0,47.91667,8.4,0.000142857,0.0,yes,no,3,6,1,0
609,yes,0,21.91667,1.95,0.03838103,61.9525,no,no,0,40,0,4
610,yes,0,36.75,3.0,0.032497,80.82584,yes,no,3,134,0,4
611,yes,0,23.5,2.8,0.003928571,8.333333,yes,no,0,12,1,3
612,yes,1,25.33333,4.55,0.04465253,169.0575,yes,no,1,42,1,10
613,yes,0,21.25,1.99,0.03496332,57.980830000000005,no,no,2,8,1,5
614,yes,0,48.91667,4.5,0.05416889,203.1333,no,no,2,17,1,0
615,no,0,35.58333,4.0,0.0003,0.0,no,no,2,70,1,1
616,yes,0,39.08333,3.5,0.06206229,181.015,yes,no,1,42,1,0
617,no,1,27.66667,2.15,0.00055814,0.0,no,no,0,97,1,1
618,no,0,23.25,1.62,0.000740741,0.0,no,no,0,32,1,7
619,yes,0,31.16667,3.5,0.1656494,483.0608,no,no,1,14,0,0
620,yes,0,26.83333,2.9,0.006872069,15.940829999999998,yes,yes,1,26,1,3
621,yes,0,39.25,3.4064,0.06364079,180.655,no,yes,1,120,1,7
622,yes,0,24.83333,4.0,0.00165,4.5833330000000005,no,yes,2,48,1,4
623,yes,0,27.16667,2.6,0.8778461,1902.0,no,no,0,4,1,7
624,yes,0,24.66667,2.0676,0.2071183999999999,356.7817,no,no,0,4,1,17
625,yes,0,44.66667,2.4,0.0005,0.0,no,no,0,36,1,11
626,yes,0,25.16667,3.42,0.008915205,24.575,no,no,0,3,1,0
627,yes,0,21.91667,6.7,0.05414866,302.2467,no,no,0,8,1,6
628,yes,0,40.41667,5.43,0.007506077,33.215,no,no,0,14,1,11
629,yes,0,24.08333,1.62,0.01050802,13.68583,no,no,0,12,0,4
630,yes,0,31.83333,2.4192,0.05800388,116.3525,no,no,0,24,1,7
631,yes,0,24.66667,3.4,0.05114029,144.3975,no,no,0,12,1,8
632,yes,0,47.41667,3.6,0.03811111,113.75,yes,yes,2,120,1,12
633,yes,0,27.16667,2.5,0.0887728,184.9433,no,no,0,12,1,8
634,yes,0,49.58333,1.75,0.01074229,15.3325,yes,no,1,38,1,3
635,yes,0,32.0,2.5,0.0544468,113.1808,no,no,0,8,1,5
636,yes,0,35.0,4.5,0.01022222,37.58333,yes,no,3,144,1,3
637,no,1,26.16667,2.466,0.000486618,0.0,yes,no,0,14,1,20
638,yes,0,20.66667,2.7,0.06984445,156.9,no,no,1,38,1,10
639,no,0,34.25,2.4,0.0005,0.0,no,no,0,27,1,2
640,yes,0,49.83333,6.9,0.06075971,349.2017,yes,no,3,160,0,0
641,yes,0,40.75,4.8,0.1537802,615.1208,yes,no,3,122,1,17
642,yes,0,20.83333,1.92,0.1300521,208.0833,no,no,0,84,1,6
643,yes,0,40.33333,2.8,0.03813821,88.73917,no,no,3,19,0,0
644,yes,0,25.08333,1.6949,0.02467697,34.52083,no,no,0,3,0,16
645,yes,0,29.33333,3.5,0.1257411,366.745,no,no,0,19,1,0
646,yes,1,40.5,2.25,0.02382222,44.0,no,no,0,86,1,10
647,no,2,30.75,2.315,0.000518359,0.0,no,no,1,17,1,8
648,yes,0,30.66667,4.0,0.09011575,299.8858,yes,no,1,37,0,6
649,yes,0,40.0,4.5,0.09576601,359.1225,no,no,5,2,1,0
650,yes,0,23.0,3.1782,0.09312976,246.5708,no,no,0,17,1,3
